event_id,venue_id,event_name,event_date,event_start,event_end,door_policy,event_status
E001,V001,Klubnacht,2024-11-15,2024-11-15 23:59,2024-11-17 18:00,strict,completed
E002,V002,Tresor.Neu,2024-11-15,2024-11-15 23:30,2024-11-16 12:00,relaxed,completed
E003,V003,Blank Friday,2024-11-15,2024-11-15 23:00,2024-11-16 14:00,relaxed,completed
E004,V004,Sisyphos Weekend,2024-11-16,2024-11-16 22:00,2024-11-18 22:00,relaxed,completed
E005,V005,RSO Nacht,2024-11-16,2024-11-16 23:00,2024-11-17 10:00,members_only,completed
E006,V001,Panorama Bar Daytime,2024-11-22,2024-11-22 23:59,2024-11-24 18:00,strict,completed
E007,V002,Tresor Closing,2024-11-22,2024-11-22 23:30,2024-11-23 14:00,relaxed,completed
E008,V003,ambient blank,2024-11-23,2024-11-23 23:00,2024-11-24 06:00,relaxed,completed
E009,V004,Hammahalle Opening,2024-12-06,2024-12-06 22:00,2024-12-08 22:00,relaxed,completed
E010,V005,NYE at RSO,2024-12-31,2024-12-31 23:00,2025-01-01 12:00,members_only,confirmed
E011,V001,Berghain Xmas Klubnacht,2024-12-13,2024-12-13 23:59,2024-12-15 18:00,strict,completed
E012,V002,Tresor Globus,2024-12-13,2024-12-13 23:30,2024-12-14 12:00,relaxed,completed
E013,V003,Blank Xmas,2024-12-13,2024-12-13 23:00,2024-12-14 14:00,relaxed,completed
E014,V006,OHM Nacht,2024-12-14,2024-12-14 23:00,2024-12-15 12:00,relaxed,completed
E015,V007,Griessmuehle Reloaded,2024-12-14,2024-12-14 23:00,2024-12-15 18:00,relaxed,completed
E016,V001,Silvester Klubnacht,2024-12-20,2024-12-20 23:59,2024-12-22 18:00,strict,completed
E017,V004,Sisyphos Winter,2024-12-21,2024-12-21 22:00,2024-12-23 22:00,relaxed,completed
E018,V005,RSO Winter Nacht,2024-12-21,2024-12-21 23:00,2024-12-22 10:00,members_only,completed
E019,,Kater Blau Wintergarten,,2024-12-20 23:00,,relaxed,completed
E020,V006,OHM Closing Set,,,,relaxed,completed
E021,V002,Tresor New Year,2025-01-10,2025-01-10 23:30,2025-01-11 14:00,relaxed,completed
E022,V003,Blank Decade,2025-01-10,2025-01-10 23:00,2025-01-11 14:00,relaxed,completed
E023,V007,Griessmuehle Nacht,2025-01-11,2025-01-11 23:00,2025-01-12 18:00,relaxed,completed
E024,V008,Holzmarkt Sessions,2025-01-10,2025-01-10 23:00,2025-01-11 16:00,relaxed,completed
E025,V001,Berghain Januar,2025-01-10,2025-01-10 23:59,2025-01-12 18:00,strict,completed
E026,V004,Sisyphos Restart,,,2025-01-20 22:00,relaxed,completed
E027,V005,RSO Winterende,2025-01-18,2025-01-18 23:00,2025-01-19 10:00,members_only,completed
E028,V006,OHM Tekno,2025-01-18,2025-01-18 23:00,2025-01-19 12:00,relaxed,completed
